# Activation Energy Barrier from Garrod 2013 Table3                                            EA       width
CH3O        C2H5CN      *           CH3OH       C2H4CN      *           *           *        2000         1.0
CH3O        C3H7CN      *           CH3OH       C3H6CN      *           *           *        2000         1.0
CH3O        NH2CH2CN    *           CH3OH       NHCH2CN     *           *           *        2000         1.0
CH3O        NH2OH       *           CH3OH       HNOH        *           *           *        2000         1.0
CH3O        N2H4        *           CH3OH       NH2NH       *           *           *        2000         1.0
CH3O        NH2OCH3     *           CH3OH       HNOCH3      *           *           *        2000         1.0
CH3O        NH2CH2OH    *           CH3OH       HNCH2OH     *           *           *        2000         1.0
CH3O        NH2CONH2    *           CH3OH       NH2CONH     *           *           *        2000         1.0
CH3O        NH2COOH     *           CH3OH       HNCOOH      *           *           *        2000         1.0
CH3O        CH3OCONH2   *           CH3OH       CH3OCONH    *           *           *        2000         1.0
CH3O        HOCH2CONH2  *           CH3OH       HOCH2CONH   *           *           *        2000         1.0
CH3O        NH2COCHO    *           CH3OH       HNCOCHO     *           *           *        2000         1.0
CH3O        CH3CONH2    *           CH3OH       CH3CONH     *           *           *        2000         1.0
CH3O        NH2CH2COOH  *           CH3OH       HNCH2COOH   *           *           *        2000         1.0
CH3O        C2H5COOH    *           CH3OH       C2H4COOH    *           *           *        2000         1.0
CH3O        NH2C2H5     *           CH3OH       NH2C2H4     *           *           *        2000         1.0
CH3O        NH2CH2CHO   *           CH3OH       NH2CH2CO    *           *           *        1470         1.0
CH3O        NH2CH2CHO   *           CH3OH       HNCH2CHO    *           *           *        2000         1.0
CH3O        CH3COOH     *           CH3OH       CH2COOH     *           *           *        2000         1.0
NH2         CH3CHO      *           NH3         CH3CO       *           *           *        1250         1.0
NH2         CH3OH       *           NH3         CH2OH       *           *           *        3280         1.0
NH2         CH3OH       *           NH3         CH3O        *           *           *        3290         1.0
NH2         CO          *           NH2CO       *           *           *           *        2500         1.0
NH2         H2CO        *           NH3         HCO         *           *           *        2360         1.0
NH2         HCOOCH3     *           NH3         CH3OCO      *           *           *        3360         1.0
NH2         HCOOCH3     *           NH3         HCOOCH2     *           *           *        2690         1.0
NH2         HCOOH       *           NH3         COOH        *           *           *        3340         1.0
NH2         NH2CHO      *           NH3         NH2CO       *           *           *        2670         1.0
NH2         CH2(OH)CHO  *           NH3         CH2(OH)CO   *           *           *        2400         1.0
NH2         HNCO        *           NH3         OCN         *           *           *        1200         1.0
NH2         CH4         *           NH3         CH3         *           *           *        4680         1.0
NH2         C2H5CHO     *           NH3         C2H5CO      *           *           *        2400         1.0
